研报名称,机构名称,发布时间,行业,研报地址
电力设备及新能源行业2023年下半年投资策略：迎海风起舞，随光热闪耀,东莞证券,2023-06-09,风电设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306091590682860
电力设备新能源2023年6月投资策略：风电光伏景气度向好，储能招标持续放量,国信证券,2023-06-09,风电设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306091590662169
电力设备及新能源行业：广东发布2023海风竞配方案， 属地布局公司有望受益,中国银河,2023-06-05,风电设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306051590421353
风电/电网产业链周评（6月第1周）：广东启动23GW海风项目竞配，宁夏-湖南特高压直流项目获准,国信证券,2023-06-05,风电设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306051590402869
电力设备与新能源行业周报：政策支持力度加强，上海市对充电设备给予30%—50%补贴,信达证券,2023-06-05,风电设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306041590400897
风电行业动态点评：广东海风竞配方案落地，利好风电装机放量,中银证券,2023-06-01,风电设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306011587485272
充电桩系列（08）：上海打响补贴“第一枪”，充电桩景气度强势上行,民生证券,2023-05-31,风电设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305311587387435
电力设备行业周报：锂盐价格趋稳，建议关注电池、回收及新技术环节,华安证券,2023-05-29,风电设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305291587330903
电力设备及新能源行业周报：SNEC光伏展多款新品亮相，N型光伏技术商业化加速发展,东莞证券,2023-05-29,风电设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305291587328561
电力设备及新能源行业：审批流程简化，分散式风电发展有望提速,华福证券,2023-05-26,风电设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305261587291303
电力设备及新能源周报：特斯拉发布Optimus新进展，青海省风光规划39GW,民生证券,2023-05-22,风电设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305221587042853
