研报名称,机构名称,发布时间,行业,研报地址
有色金属行业黄金专题报告：加息暂停+经济衰退预警，黄金配置价值凸显,中邮证券,2023-05-15,贵金属,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586637176
金属行业5月投资策略：需求改善及加息尾声，看好工业金属和黄金,国信证券,2023-05-08,贵金属,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586358529
贵金属行业专题：远东贵金属资源梳理,浙商证券,2023-04-27,贵金属,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304271585929570
黄金行业深度报告：“停止加息+美国经济衰退”的预期升温，支撑黄金上涨趋势,东莞证券,2023-04-26,贵金属,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304261585877145
大宗及贵金属周报：吨铝行业利润站上2000元,国金证券,2023-04-23,贵金属,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585719609
黄金珠宝行业研究：23Q1头部珠宝品牌门店市占率延续提升，疫情加速行业集中,国金证券,2023-04-10,贵金属,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304101585249118
黄金行业点评：多因素驱动黄金价格向上，看好金价上涨持续性,德邦证券,2023-04-07,贵金属,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304071585216627
金属行业4月投资策略：看好工业金属需求改善及黄金板块,国信证券,2023-04-04,贵金属,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304041585123218
大宗及贵金属周报：工业金属旺季去库带动价格偏强运行,国金证券,2023-04-03,贵金属,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304031585029232
黄金行业深度报告：央行视角下的黄金储备与金价的关系,民生证券,2023-03-24,贵金属,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303241584531236
超硬材料行业深度分析：工业金刚石持续高景气，培育钻石未来新风口,中原证券,2023-03-23,贵金属,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303231584502987
黄金专题系列：黄金商品属性分析框架,浙商国际金融控股,2023-03-22,贵金属,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303221584470851
贵金属行业事件点评：美联储加息概率提升，黄金价格承压下跌,东莞证券,2023-02-27,贵金属,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202302271583824425
贵金属行业点评报告：美国非农就业数据远超预期，短期波动不改变黄金板块中长期配置价值,中原证券,2023-02-06,贵金属,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202302061582799669
中国黄金行业展望，2023年1月,中诚信国际,2023-01-30,贵金属,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202301301582503913
大宗及贵金属周报：预期先行，金属普涨,国金证券,2023-01-16,贵金属,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202301161582034617
贵金属行业研究：金牛将启，银亦相随,国金证券,2023-01-16,贵金属,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202301161582031320
贵金属行业深度：底部已现，黄金即将迎来上升周期,财信证券,2022-12-15,贵金属,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202212151581104500
黄金行业深度报告：以史为鉴：金价上行的前瞻指标-期限利差倒挂,民生证券,2022-04-18,贵金属,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202204181559963916
黄金行业深度报告：黄金配置来了,民生证券,2022-04-07,贵金属,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202204071557821268
黄金价格持续上涨点评：地缘战争升级，黄金价格上行,川财证券,2022-02-28,贵金属,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202202281549727404
有色金属行业点评报告：美通胀再超预期，黄金蓄势待发,东亚前海证券,2022-02-11,贵金属,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202202111546335935
有色金属行业点评报告：疫情导致不确定性增加，黄金有望偏强震荡,华宝证券,2021-12-07,贵金属,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202112071533332629
