研报名称,机构名称,发布时间,行业,研报地址
有色金属行业专题研究：钼：供稳需强，高端制造核心金属,东方财富证券,2023-05-23,小金属,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305231587070607
有色金属行业专题研究：供求趋紧，光伏金属钨未来可期,东方财富证券,2023-04-19,小金属,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304191585570322
铝行业深度报告④：水电铝旱季或难复产，供给端支撑铝价上行,东方证券,2023-04-18,小金属,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304181585544860
稀土行业专题报告（一）：管理改革进入快车道，稀土行业能否冲破循环？,华宝证券,2022-11-24,小金属,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202211241580537847
锑行业专题：资源稀缺，战略定位助推价格上移,国信证券,2022-11-10,小金属,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202211101580127818
稀土行业周报：稀土价格整体趋稳，需求回暖暂不及预期,中邮证券,2022-10-31,小金属,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202210301579638281
稀土行业周报：稀土价格有望继续回升，下游需求形成有力支撑,中邮证券,2022-10-16,小金属,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202210161579191369
稀土行业周报：稀土价格有所回暖，下游市场依旧火热,中邮证券,2022-10-10,小金属,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202210101579025656
稀土行业周报：稀土价格小幅上升，短期内上涨仍承压,中邮证券,2022-09-19,小金属,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202209181578488522
稀土行业周报：看好稀土行业成长潜力，有望突破周期性,中邮证券,2022-08-29,小金属,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202208291577773510
稀土行业点评：稀土第二批生产指标公布：增量稳中有升,中邮证券,2022-08-23,小金属,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202208231577503248
小金属行业专题：稀土跟踪笔记（4）：稀土指标和后市走向怎么看,华安证券,2022-08-22,小金属,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202208221577466472
稀土行业周报：稀土价格或将触底，下游需求不断衍生,中邮证券,2022-08-15,小金属,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202208151577240132
稀土跟踪笔记（3）：探寻产业链外延一体化布局之一——盛和资源,华安证券,2022-08-15,小金属,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202208151577215675
稀土跟踪笔记（2）：如何看待人形机器人带来的永磁新需求,华安证券,2022-08-03,小金属,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202208031576869051
稀土周报：稀土永磁需求持续回暖，利润逐步释放,中邮证券,2022-08-02,小金属,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202208021576805078
稀土周报：稀土市场持续低迷，后期需求有望修复,中邮证券,2022-07-26,小金属,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202207261576544029
稀土跟踪笔记（1）：业绩预告分化，永磁标的业绩优于资源端,华安证券,2022-07-25,小金属,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202207251576532093
稀土周报：需求复苏加大供需缺口，稀土行业有望持续景气,太平洋,2022-06-14,小金属,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202206141572028040
稀土行业点评：稀土价格持续上涨，需求和价格助力板块估值修复,川财证券,2022-06-01,小金属,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202206011569261224
【铝专题之一】详解超级周期背景下电解铝吨利核心竞争力,安信证券,2022-05-30,小金属,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202205301568817686
小金属行业研究周报：不惧调整，继续推荐能源金属锂钴镍和工业金属铝铜板块,天风证券,2022-04-06,小金属,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202204061557631458
稀土行业深度报告：政策需求共振，产业乘风而起,中航证券,2022-03-19,小金属,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202203191553645434
有色金属行业事件点评：工信部约谈稀土重点公司，倡导稀土价格回归理性,东莞证券,2022-03-07,小金属,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202203071551159098
东亚前海有色周报：稀土价格创历史新高,东亚前海证券,2022-02-21,小金属,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202202211548340441
稀土：价格上破百万，重视稀土板块的新逻辑,太平洋,2022-02-14,小金属,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202202141546915533
有色金属行业专题研究：天风问答系列：稀土整合怎么看？,天风证券,2021-12-27,小金属,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202112271536976356
稀土系列研究报告之一：碳中和重塑稀土需求，工业维生素成为必需品,华安证券,2021-09-13,小金属,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202109131515970906
稀土行业动态点评：《稀土条例》立法进度或将提速，短期轻稀土价格有望继续攀升,东莞证券,2021-07-09,小金属,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202107091502705374
稀土行业动态点评：稀土-新能源产业链兼具估值优势和增长确定的品种,浙商证券,2021-07-06,小金属,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202107061502139119
