研报名称,机构名称,发布时间,行业,研报地址
人形机器人行业跟踪点评：北京市出台机器人行动方案，大力支持人形机器人发展,国信证券,2023-07-03,专用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307031592003070
机器人行业深度报告：人形机器人产业链纵析，寻找供应链“隐形冠军”,东吴证券,2023-07-02,专用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307011591984222
人形机器人行业深度：具身智能，迈向广阔蓝海市场,中泰证券,2023-06-30,专用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306301591916008
人形机器人行业点评报告：聚焦“具身智能”浪潮，人形机器人产业化提速,浙商证券,2023-06-29,专用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306291591853518
数控机床 头豹词条报告系列,头豹研究院,2023-06-27,专用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306271591733850
大制造行业周报：多地气温达40℃以上，炎夏刺激下空调二季度产销数据向好,川财证券,2023-06-20,专用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306201591080411
机械设备行业周报：板块有望整体修复，优先看好通用设备和工程机械,华安证券,2023-06-19,专用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306191591073914
锂电设备：看好下半年海外订单落地，板块估值修复空间较大,浙商证券,2023-06-19,专用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306191591057009
摩托车行业2023年5月销售数据更新,天风证券,2023-06-19,专用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306191591056955
激光 头豹词条报告系列,头豹研究院,2023-06-16,专用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306161591038139
机械行业月度动态报告：制造业产需两端增速放缓，挖机设备出口持续强劲,中国银河,2023-06-16,专用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306161591032361
2023年中国压滤机行业概览：下游应用领域不断拓展，新兴行业带动新需求（摘要版）,头豹研究院,2023-06-15,专用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306151590979045
机械设备行业周报：维持结构性机会判断，关注政策面变化,华安证券,2023-06-14,专用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306141590949914
机械设备行业周报：5月挖机出口销量增长超预期，国铁发布招标大单,中国银河,2023-06-13,专用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306131590893737
【浙商机械】2023年消费设备行业中期策略：期待消费复苏、政策支持,浙商证券,2023-06-13,专用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306131590890711
机器人行业深度：工业机器人国产化加速，寻找产业链强阿尔法,东吴证券,2023-06-12,专用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306121590863742
工业气体行业周报（2023年6月第1周）：液态气价持续复苏，持续推荐工业气体板块,浙商证券,2023-06-09,专用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306091590682875
大制造行业周报：马斯克的脑机公司获得FDA人体试验批准,川财证券,2023-05-30,专用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305301587354170
机械行业研究：从工业母机高质量发展论坛看行业后续投资价值,国金证券,2023-05-29,专用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305291587328580
机械设备行业周报：预计板块近期仍是结构性机会,华安证券,2023-05-25,专用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305241587149318
大制造行业估值手册——周度数据跟踪,浙商证券,2023-05-24,专用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305241587129529
机器人行业报告（二）：Optimus引领人型机器人风潮,东方财富证券,2023-05-19,专用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305191586958623
工业机床2022年/2023Q1财报总结：2022年机床板块业绩承压，2023年有望业绩逐步修复,国海证券,2023-05-09,专用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586383248
机械行业2022年&23Q1业绩总结：静待需求回暖，看好自主可控和技术迭代等高成长赛道,中航证券,2023-05-08,专用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586348099
摩托车行业2023年3月销售数据更新,天风证券,2023-04-26,专用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304261585856696
