研报名称,机构名称,发布时间,行业,研报地址
石化化工主题周报：炼化“走出去”，国际竞争力提升正当时,东海证券,2023-07-03,石油行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307031591997722
石油化工行业6月动态报告：油价延续震荡，看好周期弹性与成长,中国银河,2023-07-03,石油行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307031591992435
中国石油石化：MTBE价格上涨，原材料C4价格下降，相关企业有望受益,海通国际,2023-07-03,石油行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307031591990095
石化行业：石化央企估值修复，“一带一路”迎能源合作新机遇,海通国际,2023-07-03,石油行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307031591989124
石油石化行业跟踪周报：原油周报：美国原油库存骤降，国际油价小幅上涨,东吴证券,2023-07-03,石油行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307031591987171
大炼化周报：聚酯需求小幅回暖，长丝库存有所去化,信达证券,2023-07-03,石油行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307021591986698
原油周报：国际油价周内呈拉锯式震荡,信达证券,2023-07-02,石油行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307021591986677
石油石化行业跟踪周报：聚酯降价促销降库存，化工品价差小幅改善,东吴证券,2023-07-02,石油行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307021591985923
石化周报：全球基本面支撑和宏观经济压力持续博弈,民生证券,2023-07-02,石油行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307021591984503
油运行业月度专题：上调23年全球石油消费，国内进口回升,浙商证券,2023-06-30,石油行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306301591923842
能源开采行业2023年中期策略：云开雾散，黑金之辉熠熠重现,民生证券,2023-06-28,石油行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306281591762813
天然气周报：欧洲地区发电需求上涨明显，气价窄幅波动,国海证券,2023-06-28,石油行业,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306271591748703
