研报名称,机构名称,发布时间,行业,研报地址
换电重卡行业深度报告：迈向“双碳”重要抓手，提速渗透拥抱成长蓝海,国海证券,2023-03-29 00:00:00.000,电机,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303291584652022
电气设备行业点评报告：国常会核准三个核电项目，核电规模化发展提速,开源证券,2022-04-22 00:00:00.000,电机,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202204221560842063
电气设备行业点评：湖南省双碳政策发布，聚焦清洁低碳安全高效能源体系,财信证券,2022-04-06 00:00:00.000,电机,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202204061557603599
新能源汽车系列报告之电机篇：技术升级叠加规模效应 电机行业拐点将至,国联证券,2022-03-07 00:00:00.000,电机,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202203071551121979
电气设备行业点评报告：基于我们研究框架：行业已到短期全面布局时间点,开源证券,2022-01-03 00:00:00.000,电机,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202112311537752099
新能源电力行业2022年策略报告：政策托底新能源装机中枢上移，产业链确定性机会显现,华宝证券,2021-12-28 00:00:00.000,电机,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202112281537140383
电力设备及新能源周报：深圳推出25年氢能发展规划，11月风光装机向好,民生证券,2021-12-22 00:00:00.000,电机,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202112221536041591
驱动电机行业深度报告：电动化扁线化持续渗透，扁线电机产业链有望迎来拐点,中航证券,2021-12-21 00:00:00.000,电机,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202112201535746987
电气设备行业周报：关注氢能和光伏辅材环节,东莞证券,2021-12-20 00:00:00.000,电机,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202112201535652662
新能源行业周报：国内1-11月装机约35GW，产业链降价将刺激需求回升,华安证券,2021-12-20 00:00:00.000,电机,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202112201535652595
电力设备与新能源行业专题策略报告：电动车蓬勃发展，风光储吹响碳中和冲锋号角,华西证券,2021-12-08 00:00:00.000,电机,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202112081533505367
电气设备行业深度报告：风电机组：格局变迁，成本要素凸显,平安证券,2021-10-15 00:00:00.000,电机,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202110151522779999
电气设备行业深度报告：电机产业链：受益电动化加速，重弹性和新技术,开源证券,2021-08-15 00:00:00.000,电机,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202108151510235860
新能源驱动电机：老赛道孕育新确定性，聚焦电机或大有可为,东方证券,2021-06-02 00:00:00.000,电机,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202106021495506042
