研报名称,机构名称,发布时间,行业,研报地址
物业管理行业研究周报：4月拓展数据回落 头部物企仍具韧性,申港证券,2023-05-15,房地产服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586632430
房地产行业研究周报：房地产经纪行业新政如何解读？,天风证券,2023-05-15,房地产服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586625234
地产行业五大热点话题再探讨：从市场供需到房企成长,平安证券,2023-05-11,房地产服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586490284
房地产服务行业年度报告：地产影响分化，国企表现更优,国金证券,2023-05-08,房地产服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586355013
物业管理行业研究周报：物企非住业态赛道延伸之IFM,申港证券,2023-05-04,房地产服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586267267
月酝知风之地产行业：四月小阳春热度回落，核心城市地市回温,平安证券,2023-04-28,房地产服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304281586054453
房地产：全面实现不动产统一登记解读-全面实现不动产统一登记，促进行业平稳健康发展,德邦证券,2023-04-26,房地产服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304261585862291
2023年第16周地产周报：核心城市土拍回温，因城施策持续优化,东方证券,2023-04-25,房地产服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304251585804571
物业管理行业研究周报：华润万象生活与平安不动产达成战略合作,申港证券,2023-04-24,房地产服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585732007
物业管理行业深度报告：行业回归理性发展，长期成长逻辑未变,万联证券,2023-04-21,房地产服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304211585657160
