研报名称,机构名称,发布时间,行业,研报地址
航空机场周报：中美航线有望再增班，暑运预计超2019,国联证券,2023-06-19,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306191591063505
交通运输行业周报：VLCC运价跳涨，积极布局油运、航空,国信证券,2023-06-19,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306191591061204
交运行业周报：经营持续恢复，暑运需求向好,中泰证券,2023-06-19,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306191591058857
航空机场行业5月运营情况总结：5月淡季不淡，建议积极布局暑运旺季行情,浙商证券,2023-06-19,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306191591056978
航空2023年5月数据点评：民航市场延续复苏趋势，看好旺季表现,国信证券,2023-06-19,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306191591056894
交通运输行业周报：春秋领涨航空股，旺季胜负手结论被印证,华金证券,2023-06-19,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306181591056497
航空行业月度报告：吉祥扩产能，春秋重客座,华金证券,2023-06-18,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306181591056504
交通运输行业周报：VLCC市场短期有所回暖，中日航班恢复,中银证券,2023-06-15,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306151590958910
交通运输行业报告：出行需求韧性足，关注航空低位布局机会,中邮证券,2023-06-13,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306131590913739
航空行业周报（2023第24周）：暑运有望重新凝聚市场共识,国海证券,2023-06-13,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306131590887538
航空机场周报：端午订票旺盛，燃油费三连降助力需求释放,国联证券,2023-06-12,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306121590858610
航空机场行业2023年中期策略：困境反转，业绩为王,浙商证券,2023-06-11,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306111590848201
交通运输周报：燃油附加费年内三次下调，助力暑运出行热情抬升,首创证券,2023-06-09,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306091590662114
交运行业周报：C919首航时间确定，持续看好暑运旺季,中泰证券,2023-06-07,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306071590508212
交通运输周报：沪市航空机场公司召开业绩说明会，快递公司备战618,首创证券,2023-06-07,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306071590508196
交通运输周报：航空、快递四月经营数据发布，同比修复亮眼,首创证券,2023-06-07,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306071590508170
交通运输：航空系列深度之三 竞争格局改善，行业开启新周期,国联证券,2023-06-01,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305311587414824
4月民航数据点评：民航客运市场加速复苏 暑期旺季值得期待,群益证券,2023-05-31,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305311587389258
交通运输行业点评报告：东航C919国产飞机完成商业首航，在国内市场份额有较大提升空间,中国银河,2023-05-31,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305311587384025
航空机场数据跟踪月报：多指标恢复至疫前，国际航线修复加速,西南证券,2023-05-30,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305301587354257
大飞机行业事项点评：C919商业首航成功，从0到1撬动万亿产业链,信达证券,2023-05-29,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305291587330413
行业月度报告：航空：2023弱贝塔，廉航结构机会在酝酿,华金证券,2023-05-25,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305251587174949
全球机场行业商业复苏专题：客流回归，吸金不减,浙商证券,2023-05-24,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305241587125457
交通运输周报：出入境管理政策优化，顺丰出售旗下加盟品牌,首创证券,2023-05-23,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305231587092520
航空行业周报（2023第21周）：把握航空淡季与情绪低点共同带来的布局窗口期,国海证券,2023-05-22,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305221587058079
交通运输行业周报：中东市场走强带动VLCC运价大幅上行，美国交通部批准新增中美航班,中银证券,2023-05-22,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305221587038084
交通运输行业周报：4月数据印证廉航机会，中特估有望迎二阶段行情,华金证券,2023-05-21,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305211587034523
交通运输：航空系列深度之二-困境反转，需求重回高增长,国联证券,2023-05-21,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305201587031334
航空板块2023年4月数据点评：民航载客量稳步提升，国航4月ASK/RPK环比增速领先,上海证券,2023-05-19,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305191586964199
航空机场4月数据点评：换季后国际航线放量明显，国内旅客量超19年同期,东兴证券,2023-05-18,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305181586743273
航空机场行业4月运营情况总结报告：航司运力投放增加、客座率缺口收窄，机场国际线恢复趋势明确,浙商证券,2023-05-18,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305181586736573
航空2023年4月数据点评：国际航线继续放量，民营航司表现持续亮眼,国信证券,2023-05-17,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305171586717769
交通运输行业周报：基建相关资产表现优异，油运需求回升,国信证券,2023-05-15,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586644943
航空行业周报（2023第20周）：2022年净增86架客机，节后量价小幅回落,国海证券,2023-05-15,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586637177
交通运输行业周报（5月第2周）：白云新广告协议落地，4月境内航线日均航班量较19年+9.12%,浙商证券,2023-05-15,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586625293
航空行业周报（2023第19周）：五一航空市场火热，票价超2019年同期3成,国海证券,2023-05-12,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305121586528032
"交通运输行业专题报告：行业配置比例小幅回调,机构加仓航空航运——1Q2023交运机构持仓分析",国海证券,2023-05-12,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305121586527037
交通运输行业周报：五一出行火热带动交通运输修复，航空出行量价齐升,首创证券,2023-05-11,航空机场,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586490259
