研报名称,机构名称,发布时间,行业,研报地址
房地产行业7月周报：销售复苏回落,国联证券,2023-07-10,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307101592126357
房地产行业研究周报：上海二手房挂牌数据如何解读？,天风证券,2023-07-10,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307101592125931
房地产行业周报：单周销售市场边际回落，多地上调公积金缴存上限,开源证券,2023-07-10,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307101592124024
房地产2023H1土地成交情况点评：2023H1土地成交总价同比下滑21%，京、杭、沪位列前三；预计下半年会有结构性回暖,中银证券,2023-07-10,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307091592122162
房地产行业第27周周报：新房二手房环比再回落，各地放松政策仍在持续,信达证券,2023-07-09,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307091592121396
房地产行业简评报告：百强销售同比由正转负，高信用房企保持优势,首创证券,2023-07-07,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307071592103691
房地产行业简评报告：百强拿地同比回落，中海单月拿地金额超300亿,首创证券,2023-07-07,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307071592103032
房地产行业市场月报：6月供应增34%而成交再降，地市缩量但溢价率新高,克而瑞证券,2023-07-07,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307071592093885
房地产：金科引入长城国富作战投长实欲抄底龙光、合景香港豪宅项目,克而瑞证券,2023-07-07,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307071592093884
房地产行业2023年中期策略：行业格局重塑趋势明显，发展模式变革势在必行,东兴证券,2023-07-06,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307061592069688
房地产行业周报（2023年第26周）：销售环比有所上涨，多地政策持续宽松,财通证券,2023-07-06,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307061592065502
房地产行业2023年中期投资策略：基本面弱复苏，关注政策再释放,西南证券,2023-07-06,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307061592058412
房地产：早八点|上周楼市整体环比上涨超六成，宅地供应量增近五成，整体均价环比走高,中国指数研究院,2023-07-05,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307051592051332
中国房地产企业资讯监测报告,中国指数研究院,2023-07-05,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307051592051331
2023年上半年中国房地产政策盘点,中国指数研究院,2023-07-05,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307051592051330
【房地产行业周报】6月商品房成交同比大幅下降，第三支箭加速落地,首创证券,2023-07-05,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307051592050975
房地产：全国调研系列报告之长三角区域（四）-杭州：市场整体维稳，板块分化持续,民生证券,2023-07-04,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307041592036307
房地产行业周观点：销售预期差值得博弈,国信证券,2023-07-04,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307041592033467
2023年6月房地产数据点评：销售短期趋弱，复苏大势未改,国信证券,2023-07-04,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307041592033465
房地产：2023年7月上海市住宅价格,城市测量师行,2023-07-04,房地产开发,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307041592030213
