研报名称,机构名称,发布时间,行业,研报地址
工业机器人板块2022年报&2023Q1财报总结：工业机器人行业筑底阶段，关注盈利能力改善,安信证券,2023-05-15,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586664040
机械行业周报：4月我国挖机总销量同比下降23.5%,湘财证券,2023-05-15,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586647746
大制造行业估值手册——周度数据跟踪,浙商证券,2023-05-15,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586638068
机械行业一周解一惑系列：液冷设备行业梳理,民生证券,2023-05-15,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586633912
机械行业周报：具身智能迎来PALM-E时代，有望提升机器人智能化水平,太平洋,2023-05-15,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586633890
机械行业研究：国资委推动央企加大工业母机领域布局,国金证券,2023-05-15,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586633531
超声水表行业点评报告：基础设施生命线安全工程将全面启动，看好超声水表需求提升,浙商证券,2023-05-15,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586632336
机械设备行业周报：出口新高、复苏在即，通用激光行业将迎新一轮成长,开源证券,2023-05-15,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586632325
机械设备行业周报：4月挖机海外销售占比维持较高水平,东莞证券,2023-05-15,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586632323
机械行业周报：工业景气度短期承压，复苏方向确定,东方证券,2023-05-15,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586632318
机械设备行业周报：板块表现低于预期，需要时间修复信心,华安证券,2023-05-15,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586631322
机械行业周报（2023年5月第2周）：4月铁路投资创新高；持续聚焦工业气体、光模块设备、轨交装备,浙商证券,2023-05-15,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586625291
机床行业点评报告：机床：国资委强调加大工业母机布局力度，国产替代有望提速,浙商证券,2023-05-15,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586625290
机械设备行业05月周报：汽车检测行业有望受益于国六实施政策,国联证券,2023-05-14,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305131586610063
机械设备行业2022年报及2023年一季报业绩综述：2023Q1细分板块盈利能力改善,东莞证券,2023-05-12,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305121586534966
机械行业2023年中期投资策略：自主可控，AI赋能制造，一带一路和中特估,开源证券,2023-05-12,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305121586528006
机械设备行业深度报告：2022&23Q1财报综述-Q1板块盈利环比改善，景气持续复苏,东方证券,2023-05-12,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305121586527965
2022年中国工业母机行业概览——“技术突破+规模扩张”助推行业成长（摘要版）,头豹研究院,2023-05-11,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586499998
机械行业2022&2023Q1财报总结：行业子板块分化明显，把握高经营质量优质赛道投资机会,国信证券,2023-05-11,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586486724
机械行业周报：3月全球半导体销售额同比下降21.3%,湘财证券,2023-05-09,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586396454
机械设备行业双周报2023年第9期总第30期：机械设备2022年报及一季报总结：看好自动化、轨交设备基本面复苏,长城国瑞证券,2023-05-09,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586392493
机械行业2022年报&2023年一季报总结：行业仍在筑底，重点关注结构化机会,上海证券,2023-05-09,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586388334
【中邮机械｜行业深度】22年&23Q1财报综述：好开端与持续性，不惧波动复苏仍在路上,中邮证券,2023-05-08,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586380316
机械设备行业周报：4月PMI回落至荣枯线之下，关注轨交装备复苏投资机会,中国银河,2023-05-08,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586363911
机械设备行业周报：4月制造业PMI落入荣枯线下,东莞证券,2023-05-08,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586360588
机械设备行业研究周报：工业气体有望迎来里程碑式整合，继续重视五月一带一路催化剂！,天风证券,2023-05-08,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586359376
机械一周解一惑系列：高温超导技术梳理及未来应用展望,民生证券,2023-05-08,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586358885
机械行业2022年年报及2023年一季报业绩综述：强预期弱现实，精选稳健赛道中特估与新技术方向,民生证券,2023-05-08,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586358884
机械行业周报（2023年5月第1周）：杭氧控股股东拟并购盈德；持续推荐工业气体、光模块设备、轨交装备,浙商证券,2023-05-08,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586354975
机械设备行业周报：Q1核电火电景气上行，激光设备合同负债增幅较大,开源证券,2023-05-08,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586354966
机械行业22年及23Q1业绩综述：22年业绩筑底，看好23年需求复苏带动行业盈利向上,国金证券,2023-05-08,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586348529
大制造行业周报：白宫宣布首个AI监管计划AI监管或成下一个增量赛道,川财证券,2023-05-08,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586348493
通用设备行业周报：通用设备机床板块2022年报、2023Q1季报综述,华金证券,2023-05-08,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305071586347556
科技制造行业动态点评：先进制造业集群是制造业高质量发展的重要标志,川财证券,2023-05-07,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305071586345973
通用自动化2022年报&2023年一季报总结：行业复苏在即，看好自主可控进阶的机床板块,东吴证券,2023-05-07,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305071586345971
机械设备行业05月周报：CME预估4月挖机销量同比-26%，降幅环比收窄,国联证券,2023-05-07,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305071586343786
新兴产业行业研究周报：本期新股速递：建议关注高华科技、华曙高科,天风证券,2023-05-06,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305061586332137
机械行业2023年5月投资策略：4月制造业PMI49.20%，关注估值大幅消化、业绩持续有支撑的优质龙头公司,国信证券,2023-05-05,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305051586297596
机械行业研究：4月制造业PMI49.2%，景气度环比回落,国金证券,2023-05-05,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305051586290526
机械行业周报（2023年4月第4周）：4月PMI为49.2%景气回落，持续推荐工程机械、工业气体、半导体设备,浙商证券,2023-05-05,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305051586290316
激光行业2022年报&2023年一季报总结：新能源激光业绩高增，通用激光需求回暖明显,东吴证券,2023-05-05,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586275724
机械设备行业周报：2022年机械板块总结：机床扭亏为盈，能源设备表现亮眼,开源证券,2023-05-05,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586267881
机械设备行业周报：机械行业收入与利润增速均有所改善,华安证券,2023-05-04,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586269656
大制造行业二零二三年五月月报：AI尽显强势，核心趋势标的可持有，适当配置低位超跌估值合理板块,川财证券,2023-05-04,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586268066
大制造行业估值手册——周度数据跟踪,浙商证券,2023-05-04,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586268002
机械设备行业周报：锂电/光伏设备Q1业绩高增，建议关注新技术环节,太平洋,2023-05-04,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586267274
大制造行业周报：人民币国际化提速，CIPS跨境支付系统覆盖面稳步扩展,川财证券,2023-05-04,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586267141
机械设备行业周报：年报业绩承压，新能源/油服/煤机矿机板块表现亮眼,中国银河,2023-05-04,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586258739
机械设备行业动态报告：2023Q1基金持仓分析：基金持仓回落，布局复苏+自主可控投资机会,中国银河,2023-05-04,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586258088
油服设备板块2022年报及2023Q1财报总结：油价有望高位震荡，油服行业景气向好,安信证券,2023-05-04,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586248538
机械设备行业跟踪周报：推荐Q1业绩高增长的半导体设备&光伏设备,东吴证券,2023-05-04,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586239787
机械：检测试验板块2022年报及一季报综述-无惧外因坚韧成长，蓬勃需求持续释放,安信证券,2023-05-04,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305031586220440
机械行业月报：风电零部件景气度向好，工业自动化有底部反弹趋势,中原证券,2023-04-26,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304261585880723
机械行业周报：3月我国工业机器人产量同比减少5.7%,湘财证券,2023-04-25,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304251585790924
机械设备行业周报：钙钛矿产业化进程持续加速，看好机床自主可控投资机会,中国银河,2023-04-25,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304251585789549
机械设备行业研究周报：继续重视五月一带一路催化剂！继续看好半导体设备及新技术,天风证券,2023-04-25,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304251585785448
钙钛矿大会观察：GW级产线开工、技术路线呈现多样性、玩家持续扩容,中国银河,2023-04-24,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585769601
机械设备行业周报：叉车内销有望修复，电动化+外销将持续发力,太平洋,2023-04-24,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585730507
机械设备行业周报：AIGC拉动算力需求高增，数据中心冷却塔配置提速,开源证券,2023-04-24,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585730492
机械行业周报（2023年4月第3周）：3月出口数据超预期；持续推荐半导体设备、通用设备、工程机械,浙商证券,2023-04-24,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585729656
机械行业研究：1Q制造业投资增长7%，装备制造业支撑工业经济复苏,国金证券,2023-04-24,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585729607
机械设备行业周报：3月工程机械销量环比改善,东莞证券,2023-04-24,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585729552
机械设备行业跟踪周报：看好工业母机自主可控的长期空间；推荐Q1业绩高增长的光伏设备&半导体设备,东吴证券,2023-04-23,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585727116
机械设备行业4月周报：一季度挖掘机出口增长，工程机械寻求海外机会,国联证券,2023-04-23,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585726519
机械设备行业周报：市场波动加剧，对行业保持乐观,华安证券,2023-04-23,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585721138
质谱仪行业报告：产业升级时期的黄金赛道，国产替代趋势加快,东方证券,2023-04-23,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585718680
2023年中国对话式AI行业词条报告,头豹研究院,2023-04-20,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304201585636480
2022年中国RPA市场探析报告： RPA市场产品分析（摘要版）,头豹研究院,2023-04-19,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304191585591857
大制造行业估值手册：周度数据跟踪,浙商证券,2023-04-19,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304191585568086
机械设备行业周报：3月出口超预期，关注机械行业出口链投资机会,中国银河,2023-04-18,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304181585534449
机械行业周报：2月日本金属切削机床定单额同比下降7.6%,湘财证券,2023-04-18,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304181585534063
机械设备行业研究周报：需重视五月一带一路催化剂！继续看好半导体设备及新技术,天风证券,2023-04-18,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304181585530423
机械设备行业点评报告：铸造锻压迎高质量发展，高端铸件产品、设备受益,开源证券,2023-04-17,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304171585499939
机床行业点评报告：中国国际机床展：数控机床高端化、智能化，国产替代大势所趋,浙商证券,2023-04-17,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304171585498644
大制造行业周报：央企30亿布局数据产业，数据要素驱动力加速落地,川财证券,2023-04-17,通用设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304171585496076
