研报名称,机构名称,发布时间,行业,研报地址
新材料行业2022年报及2023Q1业绩综述：长坡厚雪、灼灼其华,东亚前海证券,2023-05-10 00:00:00.000,非金属材料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586439997
新能源材料：范式进阶！,浙商证券,2023-05-09 00:00:00.000,非金属材料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586392539
2022年中国碳纤维行业短报告：新兴领域需求爆发，产业扶摇直上（摘要版）,头豹研究院,2023-05-07 00:00:00.000,非金属材料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305071586343836
化工新材料行业周报：德国可能会限制向中国出口用于制造半导体的化学品，陶氏支持胶膜龙头进行POE树脂开发,德邦证券,2023-05-05 00:00:00.000,非金属材料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305051586290020
化工可转债、定增双周报：可转债市场回调，蓝晓科技和科思股份可转债发行,太平洋,2023-04-27 00:00:00.000,非金属材料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304271585930879
化工新材料周报：1-3月光伏发电量同比增长11.8%，万润股份一季度实现归母净利润1.77亿元,国海证券,2023-04-23 00:00:00.000,非金属材料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585728751
电子化学品系列报告之一：光刻胶国产替代迎来良机,太平洋,2023-04-18 00:00:00.000,非金属材料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304181585539885
化工&新材料行业周报：OPEC+自愿减产支撑油价，萤石价格持续探涨,太平洋,2023-04-10 00:00:00.000,非金属材料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304101585254850
化工新材料行业周报：DSCC预测2023年京东方在全球OLED面板市场市占率提升至13%，SEMI预测2026年中国大陆12吋晶圆全球占比25%,德邦证券,2023-04-03 00:00:00.000,非金属材料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304031585029643
新材料行业周报：上周半导体材料板块抗跌，稀土原料价格延续调整，锂源价格维持跌势,湘财证券,2023-03-22 00:00:00.000,非金属材料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303221584469184
非金属建材行业2023年3月投资策略：复苏仍在继续，地产链头部企业调整即买入良机,国信证券,2023-03-15 00:00:00.000,非金属材料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303151584268999
非金属建材周报（23年第9周）：开复工节奏加速，地产链头部企业仍是配置重点,国信证券,2023-03-07 00:00:00.000,非金属材料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303071584085160
化工新材料行业周报：国产硅片于韩国市场1月出口额比肩日本，中国中化或将在宁夏布局尼龙产业链与芳纶业务,德邦证券,2023-03-06 00:00:00.000,非金属材料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303061584059622
化工新材料周报：中国能建拟募资150亿进行新能源建设，昊华科技拟收购中化蓝天100%股权,国海证券,2023-02-21 00:00:00.000,非金属材料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202302201583406807
新材料行业周报：面板行业景气复苏，上游消费电子材料有望受益,开源证券,2023-02-20 00:00:00.000,非金属材料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202302191583373546
非金属建材行业2023年2月投资策略：当前时点地产链头部企业依旧是板块配置重点，关注复工节奏和需求复苏,国信证券,2023-02-15 00:00:00.000,非金属材料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202302151583186946
新材料行业周报：陶瓷基板空间广阔，国瓷材料一体化布局再落一子,开源证券,2023-02-13 00:00:00.000,非金属材料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202302121583066697
化工新材料行业周报：可降解塑料又一国家标准出台，2022年半导体销售额再创新高,德邦证券,2023-02-06 00:00:00.000,非金属材料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202302061582795911
化工新材料行业周报：工信部等三部门开展重点新材料首批次应用保险补偿机制试点工作，台积电与力积电高管预期半导体市场下半年有望复苏,德邦证券,2023-01-30 00:00:00.000,非金属材料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202301301582488700
化工新材料周报：SK海力士推出全球最快移动DRAM，鼎龙股份预计2022年归母净利同增76%-90%,国海证券,2023-01-30 00:00:00.000,非金属材料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202301291582482838
非金属建材周报（23年第1周）：地产政策呵护延续，地产链头部企业现价仍可做多,国信证券,2023-01-11 00:00:00.000,非金属材料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202301111581866523
