研报名称,机构名称,发布时间,行业,研报地址
化工行业2023年周报：碳酸锂、纯MDI持续涨价，国际油价震荡下行,国联证券,2023-05-14 00:00:00.000,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305141586619358
基础化工行业2022年报及2023一季报总结：成本压力渐轻，关注需求复苏,东海证券,2023-05-10 00:00:00.000,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586441768
化工行业2023年中期投资策略：景气复苏初现，新材料大有可为,华安证券,2023-05-09 00:00:00.000,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586410931
化工行业22年及23年一季度业绩综述：行业整体估值处于低位，轮胎及烧碱行业业绩可期,东亚前海证券,2023-05-09 00:00:00.000,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586400645
光伏胶膜2022年年报及2023Q1业绩综述：需求保持高增，盈利有望修复,东亚前海证券,2023-05-09 00:00:00.000,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586393736
万华化学基本面周度动态跟踪：光学材料MS树脂中试完成，本周MDI价格维持稳定,华安证券,2023-05-08 00:00:00.000,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586355689
化学原料新材料周报：新材料板块调整，《生物经济规划》会议强调落实产业应用,山西证券,2023-05-08 00:00:00.000,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586355486
化工行业：成本降，需求升，回购提振顺周期布局信心,华福证券,2023-05-08 00:00:00.000,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586352472
化工新材料行业周报：一季度全球半导体销售额同比下降超20%，偏光片龙头企业拟投建LCD用光学膜与高分子聚合物项目,德邦证券,2023-05-08 00:00:00.000,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586352450
化工行业周报：五年内全球PVC产能将激增，50万吨/年DMC一期工程EPCM总承包合同签约,德邦证券,2023-05-05 00:00:00.000,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586268102
万华化学基本面周度动态跟踪：MDI5月挂牌价涨跌波动，下游需求缓慢跟进,华安证券,2023-05-04 00:00:00.000,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586269598
基础化工行业研究周报：中国石油学会成立碳中和专业委员会，BDO价格上涨、碳酸锂价格止跌回暖,天风证券,2023-05-04 00:00:00.000,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586268050
化工行业：中央政治局会议后，关注顺周期及自主可控材料,华福证券,2023-05-04 00:00:00.000,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586267967
化工月度策略报告：看好中石化、电子特气、氟化液、膳食纤维方向,国信证券,2023-05-04 00:00:00.000,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586267957
基础化工行业周报：碳酸锂、BDO价格上行，万华化学收购烟台巨力47.81%股权,国海证券,2023-05-04 00:00:00.000,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586226151
卫星化学及烯烃行业周度动态跟踪,华安证券,2023-05-04 00:00:00.000,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305031586220305
合成生物学周报：16部门推进《生物经济规划》实施，生物法制备阿洛酮糖取得新进展,华安证券,2023-05-03 00:00:00.000,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305031586219872
化工行业2023年5月投资策略：看好电子特气、中国石化、氟化液、膳食纤维的投资方向,国信证券,2023-04-28 00:00:00.000,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304281586038888
化工：丁苯橡胶价格大幅拉涨，裂解C5市场持续维稳,德邦证券,2023-04-26 00:00:00.000,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304261585855743
万华化学基本面周度动态跟踪：万华新产能持续扩增，MDI出口保持高增长,华安证券,2023-04-25 00:00:00.000,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304251585837599
中泰化工周度观点230422：宁东泰和BDO、PTMEG项目报批，氨纶一体化布局加速,中泰证券,2023-04-25 00:00:00.000,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304251585785495
新材料周报：AI有望提升化工新材料研发效率,山西证券,2023-04-24 00:00:00.000,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585732757
化工&新材料行业周报：宁德时代发布凝聚态电池，钠离子电池应用加速,太平洋,2023-04-24 00:00:00.000,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585731725
基础化工行业周报：工信部将进一步释放潜在消费需求，着力稳住汽车等大宗消费,东莞证券,2023-04-24 00:00:00.000,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585729559
化工行业周报：新宙邦拟3600万元参设合资公司，共同经营电子封装材料市场，晨光新材2000立方气凝胶项目即将投产,德邦证券,2023-04-24 00:00:00.000,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585729526
化工行业周报：发改委表示今年春耕期间化肥供应较为充足，工信部对17个行业企业实现节能监察全覆盖,德邦证券,2023-04-24 00:00:00.000,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585729525
化工行业2023年周报：MDI、PVC价格回暖，电子材料行情延续,国联证券,2023-04-23 00:00:00.000,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585719981
化工行业周报：2023年第一季度中国轮胎产量、出口量大幅增长,信达证券,2023-04-23 00:00:00.000,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585719980
基础化工：AI算力提升带动液冷行业需求快速增长,上海证券,2023-04-23 00:00:00.000,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585718736
化工行业2023年二季度投资策略：从不确定周期迷雾中探寻确定的光,上海证券,2023-04-23 00:00:00.000,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585718735
化工：苯乙烯价格低开后略有反弹，国内EVA石化出厂价格维稳,德邦证券,2023-04-23 00:00:00.000,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585718677
化工：POE投产进程加速、国产替代指日可待,东亚前海证券,2023-04-23 00:00:00.000,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304221585716454
氢能行业深度报告之三：质子交换膜PEM市场空间广阔，国产替代进行时,国海证券,2023-04-19 00:00:00.000,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304191585570151
基础化工行业专题研究：化工行业运行指标跟踪-2023年1-2月数据,天风证券,2023-04-19 00:00:00.000,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304191585568646
化工：国内丙烯市场价格宽幅上涨，涤纶短纤市场偏暖运行,德邦证券,2023-04-18 00:00:00.000,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304181585530415
新材料周报：锂电化学品领涨，消费复苏背景下PLA需求有望修复,山西证券,2023-04-17 00:00:00.000,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304171585493281
基础化工行业研究周报：石化联合会发出建设石化强国行动倡议，MMA、TDI价格上涨,天风证券,2023-04-17 00:00:00.000,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304171585492771
化工新材料行业周报：我国化工高端材料2025年消费量将创新高，鼎龙股份仙桃半导体材料产业园预计今年夏季建成投产,德邦证券,2023-04-17 00:00:00.000,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304171585491494
基础化工行业周报：多家钛白粉上市公司发起年内第三次提价,东莞证券,2023-04-17 00:00:00.000,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304171585490422
化工新材料行业周报：关注我国SOFC/SOEC的市场发展机遇,开源证券,2023-04-17 00:00:00.000,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304171585490163
基础化工行业周报：我国3月出口总值增长超预期，外需回暖趋势显著,开源证券,2023-04-17 00:00:00.000,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304171585489563
化工：丙酮国内市场再度上涨，华东PTA市场宽幅上调,德邦证券,2023-04-17 00:00:00.000,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304171585489485
基础化工行业周报：万华化学三大项目公示，TDI、BDO价格价差双增,华安证券,2023-04-17 00:00:00.000,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304161585488954
基础化工行业周报：油价上涨，聚酯多元醇、MMA、TDI、MTBE等产品价格上涨,安信证券,2023-04-17 00:00:00.000,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304161585488869
化工行业周报：国际油价小幅震荡，TDI价格上涨,中银证券,2023-04-17 00:00:00.000,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304161585488777
化工行业周报：轮液体黄金轮胎再出新品轮胎开工率、纯碱开工率、磷矿石价格高位震荡,信达证券,2023-04-16 00:00:00.000,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304161585488854
化工新材料行业周报：2025年全球OLED材料产值将达30亿美元，普利特2022年归母净利同比增长751%,国海证券,2023-04-16 00:00:00.000,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304161585487010
化工行业2023年周报：国际油价震荡上行，维生素D3价格持续回暖,国联证券,2023-04-16 00:00:00.000,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304161585486240
【工业气体】行业深度：从气体动力科技，看中国工业气体行业长坡厚雪,浙商证券,2023-04-14 00:00:00.000,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304141585456356
化工：BOPET市场价格走势上行，国内纯MDI市场止跌反弹,德邦证券,2023-04-13 00:00:00.000,化学原料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304131585392254
