研报名称,机构名称,发布时间,行业,研报地址
化工行业周报：全球最大高性能膜材生产基地投产，多个项目在首届尼龙大会签约,德邦证券,2023-06-26,橡胶制品,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306261591286238
轮胎行业专题报告（2023年4月）：胎企业绩表现分化，看好海外稳健需求,信达证券,2023-05-11,橡胶制品,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586487162
基础化工行业周报：光刻胶板块强势向上，继续看好有业绩有估值标的,国金证券,2023-03-13,橡胶制品,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303131584212394
轮胎行业研究框架及投资观点,国信证券,2023-01-30,橡胶制品,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202301301582488974
轮胎行业专题报告（2022年12月）：静待2023轮胎需求春暖花开,信达证券,2023-01-10,橡胶制品,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202301101581836220
化工行业深度报告：POE胶膜：光伏带动需求、POE国产化提速,东亚前海证券,2023-01-08,橡胶制品,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202301071581783623
轮胎行业点评：美国进口量环比降幅收窄，原材料成本持续下降,中邮证券,2022-12-27,橡胶制品,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202212261581374663
轮胎行业事件点评：USTMA上调2022年美国轮胎出货量预期，上半年北美轮胎销量稳中有增,国海证券,2022-08-16,橡胶制品,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202208161577277931
大国重材系列（十）：万能胶的花花世界（一）,民生证券,2022-08-14,橡胶制品,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202208141577195302
化工行业周报：倍耐力Q2营业利润超预期,信达证券,2022-08-07,橡胶制品,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202208071576970983
轮胎事件点评：轮胎原材料成本下跌，行业利润空间回升,国海证券,2022-07-24,橡胶制品,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202207241576497298
轮胎行业事件点评：货运物流回暖，乘用车销量回升,国海证券,2022-06-10,橡胶制品,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202206101571260714
橡胶：乘新能源之风，中国轮胎制造大机遇,天风证券,2022-05-19,橡胶制品,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202205191566481741
轮胎行业事件点评：中国轮胎企业一审胜诉，撤销欧委会对华TBR轮胎“双反”税令，利好全钢胎出口欧洲,国海证券,2022-05-09,橡胶制品,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202205091564438615
化工行业研究周报：甘氨酸及橡胶价格上涨,天风证券,2021-11-22,橡胶制品,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202111221530511773
橡胶行业专题研究：天风问答系列：轮胎行业五问五答,天风证券,2021-11-16,橡胶制品,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202111161529378949
化工行业周报：本周跌幅较大，橡胶板块领涨,东莞证券,2021-11-08,橡胶制品,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202111081527749711
