研报名称,机构名称,发布时间,行业,研报地址
非银金融行业：弱复苏下，重视非银行业的周期性底部机会,太平洋,2023-05-15,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586647741
非银行金融行业跟踪：流动性短期承压，非银板块表现或现分化,东兴证券,2023-05-15,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586647737
全球公共养老金研究系列（一）：挪威GPFG：长周期股权投资的魅力,平安证券,2023-05-15,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586638638
非银行业周报（2023年第十七期）：关注银行利率下调对非银板块的利好作用,中航证券,2023-05-15,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586633585
非银金融行业周观点：基本面稳中向好，中特估主题下的估值修复仍是板块主旋律,东方证券,2023-05-15,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586632320
绿色金融双周报：国家能源局助力抽水蓄能高质量发展,平安证券,2023-05-15,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586632298
金融&金融科技行业周报：4月新增社融不及预期，科创50ETF期权将上市,平安证券,2023-05-15,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586632286
非银金融行业专题研究（深度）：东方财富、同花顺、指南针对比研究：互联网财富管理的路径差异与未来成长,信达证券,2023-05-15,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586632262
非银金融行业研究周报：持续看好低估值、基本面向好标的,天风证券,2023-05-15,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586625236
非银金融行业跟踪周报：“中特估”行情持续活跃，金融板块配置价值凸显,东吴证券,2023-05-14,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305141586623741
非银金融周报：板块政策预期向好，有望持续受益“中特估”,国联证券,2023-05-14,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305141586623583
非银金融行业专题研究（深度）：券商财富管理发展与展望：规模与效率并举，券商财富管理乘风而行,信达证券,2023-05-11,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586497565
非银金融行业专题研究：上市险企22年报及23一季报综述-否极，泰来,国联证券,2023-05-11,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586497093
东吴金融&金工 财富管理月报（2023/04）：23Q1基金保有量稳增，看好财富管理赛道,东吴证券,2023-05-10,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586458734
非银金融行业日报：沪深两市午后跳水，券商板块冲高回落,大同证券,2023-05-10,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586445158
非银金融行业点评报告：关注“中特估”下金融板块的投资机遇,东吴证券,2023-05-10,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586438968
非银金融非银金融行业：上市险企2023年一季报综述-负债端拐点显现，资负共振逻辑逐步验证,信达证券,2023-05-09,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586410576
非银金融行业周报：关注中特估对非银板块的定价，基金新发超预期,开源证券,2023-05-08,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586352484
非银金融行业研究周报：保险基本面反转认知确立中，有望业绩反转+估值提升双击,天风证券,2023-05-08,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586352479
非银金融行业周观点：一季报开门红奠定基本面基础，中特估主线演绎扩散有望带动估值持续修复,东方证券,2023-05-08,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586348499
非银金融行业跟踪周报：保险板块负债端复苏力度决定反弹高度，信心比黄金更珍贵,东吴证券,2023-05-08,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586347939
非银金融周报：行业景气度显著改善，估值有望持续修复,国联证券,2023-05-07,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305071586345498
非银金融行业研究周报：一季报落地，基本面改善驱动估值提升的逻辑正逐步强化,天风证券,2023-05-05,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305051586290279
非银行业周报（2023年第十六期）：一季报业绩大幅回升，基金销售规模稳步增长,中航证券,2023-05-05,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305051586289835
2023Q1基金销售保有量规模排名点评：当流量红利遇到模式变迁,国信证券,2023-05-05,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305051586287234
基础设施投融资行业财务报表变化及其风险特征研究,中诚信国际,2023-05-05,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586267292
金融&金融科技行业周报：金融行业一季报披露完毕，小微金融服务持续优化,平安证券,2023-05-04,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586268213
非银金融：2023Q1公募基金销售保有规模分析-东财系权益基金规模及市占率保持高增长,财通证券,2023-05-04,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586268204
非银金融23Q1基金保有量点评：市场回暖、保有量增长，第三方渠道份额环比回升,平安证券,2023-05-04,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586268110
非银金融行业周报：保险一季报超预期，看好非银2季度景气度,开源证券,2023-05-04,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586267878
公募基金月度数据点评（2023年3月）：权益基金份额持续增长，其中指数型基金增长强劲,财通证券,2023-05-04,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586267139
非银行金融行业跟踪：负债端稳步改善，继续关注保险板块,东兴证券,2023-05-04,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586264586
2023Q1基金保有量数据点评：基金保有量环比改善，独立机构渠道市占率提升,东亚前海证券,2023-05-04,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305031586224850
非银金融行业周报：持续推荐一季报已兑现“拐点”逻辑的非银板块,信达证券,2023-05-04,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305031586215884
非银金融：龙头起舞点燃热情，资负共振继续坚定推荐,东吴证券,2023-04-28,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304281586032060
非银金融：海德股份2022&1Q23点评：个贷不良业务指引大幅提升，第二曲线布局加速,天风证券,2023-04-26,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304261585866020
2023Q1基金非银重仓点评：券商保险均遭减仓，关注1季报超预期及增量信息,开源证券,2023-04-26,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304261585855747
非银金融：同花顺1Q23点评：AI助力业绩显著改善,天风证券,2023-04-25,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304251585789622
非银行业周报（2023年第十五期）：关注一季度业绩带来的估值修复机会,中航证券,2023-04-25,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304251585788963
非银行金融行业跟踪：负债端持续向好，保险板块中长期投资价值凸显,东兴证券,2023-04-24,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585754184
绿色金融行业双周报：能源局定调保供稳价，欧洲正式通过碳关税,平安证券,2023-04-24,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585731724
非银金融行业研究周报：季报期在即，保险股基本面超预期的共识或继续强化,天风证券,2023-04-24,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585729630
金融&金融科技行业周报：央行解读Q1金融统计数据，3月上市险企保费寿险回暖、产险向好,平安证券,2023-04-24,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585729626
非银金融行业跟踪周报：一季报披露在即，业绩与估值共振发令可期,东吴证券,2023-04-24,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585728521
非银金融行业：布局券商窗口期来临，保险板块持续推荐,信达证券,2023-04-23,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585726214
非银金融行业周观点：市场分歧加剧及行情大调整提升二次上车性价比,东方证券,2023-04-23,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585725910
非银金融东方财富Q1季报点评：投资业务高增抵御波动,天风证券,2023-04-23,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585718744
非银金融周报：短期市场调整创造布局良机,国联证券,2023-04-23,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304221585716851
非银行金融行业跟踪：成交量&两融规模维持高位，继续关注证券板块,东兴证券,2023-04-17,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304171585505912
非银金融周报：券商有望迎来一季报业绩行情,华西证券,2023-04-17,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304171585495607
非银金融行业周观点：持续关注一季报行情催化，紧密跟踪市场活跃度及风险偏好高频变化,东方证券,2023-04-17,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304171585491500
非银金融：公募基金月度数据点评（2023年2月）-权益基金认购、申购双回暖，份额保持增长,财通证券,2023-04-17,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304171585491491
金融&金融科技行业周报：社融规模超预期，宏观政策稳字当头,平安证券,2023-04-17,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304171585490765
非银金融行业跟踪周报：顺周期和AI，一左一右,东吴证券,2023-04-17,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304161585488836
非银金融周报：基本面向好，静待估值催化,国联证券,2023-04-16,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304161585488303
非银行业周报（2023年第十四期）：投行业务质量评价工作再启，3月保费持续回暖,中航证券,2023-04-16,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304161585486997
非银金融行业周报：重视经济回暖前夕的券商板块,信达证券,2023-04-16,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304161585486961
3月金融数据点评：社融、信贷再超预期，政策力度仍强,中银证券,2023-04-12,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304121585369539
非银金融行业深度报告：股债双击驱动自营高增，居民储蓄迁移有望开启,开源证券,2023-04-12,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304121585346867
非银行金融行业周报：全面注册制正式起航，结算备付金比例下调利好券商,安信证券,2023-04-11,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304101585266102
非银行金融行业跟踪：权益市场暖意将在一季报中展现，继续关注证券板块,东兴证券,2023-04-10,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304101585255199
非银金融：上市险企一季报前瞻：资负两端均迎显著改善,国联证券,2023-04-10,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304101585254548
