研报名称,机构名称,发布时间,行业,研报地址
通信行业月报：算网基建稳步推进，物联网应用边际改善,中国银河,2023-05-12 00:00:00.000,通信服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305121586523904
通信行业2022及2023Q1财报总结：稳健成长，紧抓数字经济新周期,上海证券,2023-05-10 00:00:00.000,通信服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586433057
2023年中国6G产业研究报告,艾瑞股份,2023-05-08 00:00:00.000,通信服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586350769
通信行业2022年报及2023一季报总结：算力网络持续推荐，其他低估值子板块有待催化,华西证券,2023-05-04 00:00:00.000,通信服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586248874
通信行业研究周报：全网5G套餐用户突破12亿，关注算力为核心的持续投资机会,天风证券,2023-04-24 00:00:00.000,通信服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585731121
通信行业周报：数字经济与AI带动算力需求增长，光通信及通信设备板块行情表现强势,中邮证券,2023-04-24 00:00:00.000,通信服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585729114
通信行业周报2023年第13期：运营商新兴业务增长强劲，上海出台算力规划,国信证券,2023-04-23 00:00:00.000,通信服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585725916
信达通信·产业追踪（88）：多政策推动AI等数字经济产业发展,信达证券,2023-04-23 00:00:00.000,通信服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585720322
人工智能主题周报：大规模语言模型需求攀升，看好光模块行业表现,上海证券,2023-04-18 00:00:00.000,通信服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304181585530632
通信行业：数字经济专题报告之二十一：第三代半导体技术演进，服务器电源有望受益国产替代,华西证券,2023-04-17 00:00:00.000,通信服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304161585488986
国信通信·云基建专题（三）：AI驱动下光模块趋势展望及弹性测算,国信证券,2023-04-13 00:00:00.000,通信服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304131585415354
安信通信基础设施系列报告之算力与服务器需求测算：ChatGPT提升算力需求增长中枢，超算服务器出货量有望大幅提升,安信证券,2023-04-10 00:00:00.000,通信服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304101585251064
通信行业周报：英伟达DGXH 100 AI服务器系统以及NVLink架构大幅提升数据速率，空芯反谐振光纤或将成为新一代AI算力集群通信传输技术,德邦证券,2023-04-04 00:00:00.000,通信服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304041585118080
通信行业点评报告：运营商明显加大算力投资，运营商/中兴/紫光共赢,浙商证券,2023-03-29 00:00:00.000,通信服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303291584639918
通信行业行业周报：运营商盈利能力增强，云网能力有望持续提质,中国银河,2023-03-28 00:00:00.000,通信服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303281584605546
运营商追踪系列（四）：中国移动降本增效成果显著，移动云迈入第一阵营,信达证券,2023-03-24 00:00:00.000,通信服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303241584530835
运营商追踪系列（三）：中国电信产业数字化收入占比提升，天翼云营收目标破千亿,信达证券,2023-03-23 00:00:00.000,通信服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303231584501464
通信专题报告：掘金算力龙头系列（4）-电信资本开支超预期，利好数字经济全产业链,信达证券,2023-03-23 00:00:00.000,通信服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303231584500478
电信运营商行业深度系列报告：数字经济核心资产，云与数据重塑价值,中泰证券,2023-03-22 00:00:00.000,通信服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303221584471672
数字经济专题报告之十八：物联网模组扩充产品矩阵，赋能智能应用场景,华西证券,2023-03-21 00:00:00.000,通信服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303211584423179
通信行业动态跟踪：中国联通会议强调加快新型基础设施建设，利好5G/算力建设产业链,东方证券,2023-03-17 00:00:00.000,通信服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303171584331879
通信行业深度报告：乘数字经济东风，电信运营商攻防兼备,中原证券,2023-03-10 00:00:00.000,通信服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303101584188559
运营商追踪系列（二）：中国联通创新业务收入占比创新高，移动ARPU值再提升,信达证券,2023-03-10 00:00:00.000,通信服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303091584161180
通信行业周报：国家工信部6G技术推进下，卫星通信、光通信产业链有望持续受益,德邦证券,2023-03-07 00:00:00.000,通信服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303071584085138
国信通信∙运营商专题：数字经济时代运营商的业绩弹性与价值重估,国信证券,2023-03-03 00:00:00.000,通信服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303031584018891
通信行业点评：“追光行动”加码，千兆光网建设有望进一步加速,民生证券,2023-03-03 00:00:00.000,通信服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303031583998306
【国信通信∙运营商专题】数据要素重要参与方，数据资产带来价值重估,国信证券,2023-02-23 00:00:00.000,通信服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202302231583644373
通信行业行业月报：网络供给夯实数字底座，应用拓展注入发展新动能,中国银河,2023-02-20 00:00:00.000,通信服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202302201583388918
通信行业深度报告：夯实数字经济底座，运营商价值有望重估,国元国际控股,2023-02-16 00:00:00.000,通信服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202302161583232153
通信行业周报：ChatGPT有望推动算力基础设施需求增长，建议关注通信设备与光模块产业链,中邮证券,2023-02-12 00:00:00.000,通信服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202302121583064407
通信行业2023年2月投资策略：关注景气度修复的复苏板块,国信证券,2023-02-03 00:00:00.000,通信服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202302031582739583
中泰通信行业周报：全球科技股表现强劲，重视数字基建投资机会,中泰证券,2023-01-30 00:00:00.000,通信服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202301301582494025
