研报名称,机构名称,发布时间,行业,研报地址
轻工制造行业2022年报及2023年一季报总结：底部已至，关注家居业绩确定性增长与造纸盈利修复,东兴证券,2023-05-10 00:00:00.000,家用轻工,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586447560
轻工制造行业22年报及23一季报总结：基本面筑底企稳，关注Q2业绩释放,德邦证券,2023-05-10 00:00:00.000,家用轻工,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586433036
轻工造纸行业研究：它博会参会总结-产品迭代延续，直播渠道重要性越发显著,国金证券,2023-05-08 00:00:00.000,家用轻工,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586348536
造纸轻工行业周报：地产后周期产业链数据每周速递-本周新房、二手房成交面积均转为环比负增长,东方证券,2023-05-08 00:00:00.000,家用轻工,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586348501
轻工制造：4月月报&业绩总结：板块业绩改善可期，估值已具有性价比,中邮证券,2023-05-07 00:00:00.000,家用轻工,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305071586347497
轻工制造行业月报：短期波动不改全年向好，龙头布局估值性价比突出,中国银河,2023-05-06 00:00:00.000,家用轻工,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305061586332139
轻工制造行业2022年报及2023一季报总结：基本面短期承压，未来业绩修复可期,上海证券,2023-05-06 00:00:00.000,家用轻工,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305061586329714
轻工制造一季报总结：Q1轻工必选经营稳健，家居造纸改善可期,信达证券,2023-05-04 00:00:00.000,家用轻工,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586264324
轻工制造及纺织服装行业周报：3月轻纺社零持续向好，重申地产后周期配置机会,首创证券,2023-04-25 00:00:00.000,家用轻工,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304251585791405
轻工制造行业周报：地产销售竣工数据回暖，把握家居板块回调机会,国海证券,2023-04-25 00:00:00.000,家用轻工,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304251585791231
轻工制造行业周报：行业周报智能视觉产品蓄势待发，保交楼下竣工面积修复延续,华金证券,2023-04-25 00:00:00.000,家用轻工,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304251585781356
轻工制造周报：地产数据温和回暖，关注地产后周期机会,德邦证券,2023-04-24 00:00:00.000,家用轻工,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585729528
轻工制造行业专题：3月出口数据跟踪：家具同比转正，日用品增长明显，关注结构性亮点,华安证券,2023-04-23 00:00:00.000,家用轻工,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585726912
轻工制造双周报（2308期）：3月住宅竣工面积增速亮眼，家具出口额双位数增长,国信证券,2023-04-23 00:00:00.000,家用轻工,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585718709
AI+家居行业系列专题(一)-AI在家居行业应用现状及展望,国金证券,2023-04-20 00:00:00.000,家用轻工,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304201585609940
轻工制造行业专题研究：新房销售面积同比转正，家具零售持续复苏—家居板块数据跟踪报告2023年第三期,天风证券,2023-04-20 00:00:00.000,家用轻工,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304201585604011
卫浴行业深度报告：智能卫浴新变局，国货崛起正当时,浙商证券,2023-04-20 00:00:00.000,家用轻工,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304201585603160
环保包装：替塑空间广阔，关注纸浆模塑与可降解塑料制品龙头,东兴证券,2023-04-19 00:00:00.000,家用轻工,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304191585584894
轻工制造：23年1-3月社零增速超一致预期，保交楼下竣工面积修复延续,华金证券,2023-04-18 00:00:00.000,家用轻工,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304181585544337
家居行业系列报告三：一文读懂整装渠道变迁,民生证券,2023-04-17 00:00:00.000,家用轻工,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304171585492754
