研报名称,机构名称,发布时间,行业,研报地址
新能源行业周报：光伏产业链加速降价，新能源车销量复苏,中邮证券,2023-05-14 00:00:00.000,光伏设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305141586621544
光伏行业2022年&2023Q1业绩综述：高景气持续，供需+新技术驱动结构性盈利高增,信达证券,2023-05-11 00:00:00.000,光伏设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586466290
光伏行业2023年一季报总结：供给快速释放，经济性提升刺激需求快速增长,开源证券,2023-05-10 00:00:00.000,光伏设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586444857
光伏行业2023年中期投资策略：经济性持续凸显，需求有望快速增长,开源证券,2023-05-10 00:00:00.000,光伏设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586444851
电力设备与新能源行业周报：光伏产业链价格有所回落，风电修复曙光显现,中泰证券,2023-05-10 00:00:00.000,光伏设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586444767
光伏行业2022年年报&2023年一季报总结：行业景气持续，结构性机会突出,上海证券,2023-05-09 00:00:00.000,光伏设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586388333
光伏设备2022年报&2023一季报总结：业绩持续高增，看好高景气赛道中强alpha的龙头设备公司,东吴证券,2023-05-08 00:00:00.000,光伏设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586360409
光伏行业2023年中期策略会：松动中开启新周期，新技术带来新成长,太平洋,2023-05-08 00:00:00.000,光伏设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586352528
电力设备及新能源行业周报：美国对东南亚光伏关税豁免生变，风机竞争格局有望优化,平安证券,2023-05-08 00:00:00.000,光伏设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586352473
光伏设备板块2022年报及2023Q1财报总结：整体进入估值快速消化期，新技术方向报表端延迟反映,安信证券,2023-05-08 00:00:00.000,光伏设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586352288
光伏产业链周评（5月第1周）：光伏行业一季报总结：淡季不淡，供需两旺,国信证券,2023-05-08 00:00:00.000,光伏设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586348574
电力设备新能源2023年5月投资策略：碳酸锂价格企稳锂电酝酿复苏，风光储需求向好持续景气,国信证券,2023-05-08 00:00:00.000,光伏设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586348567
