研报名称,机构名称,发布时间,行业,研报地址
建筑材料行业周报：4月信贷短期走弱，逢低布局竣工端等三主线,华西证券,2023-05-14 00:00:00.000,水泥建材,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305141586621979
建材行业基金持仓专题：建材行业延续低配，玻璃、玻纤关注度有所提升,国信证券,2023-05-11 00:00:00.000,水泥建材,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586490282
建筑材料行业深度报告：解读基建地产链2022年年报及2023年一季报：利润表回暖、现金流改善，资产负债表仍待修复,东吴证券,2023-05-10 00:00:00.000,水泥建材,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586454944
建材行业2023年中期投资策略：地产竣工有望加速回暖，看好后周期建材配置价值,开源证券,2023-05-10 00:00:00.000,水泥建材,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586444129
特种砂浆行业深度报告：千亿赛道两强争先，东方雨虹或后来居上,中泰证券,2023-05-09 00:00:00.000,水泥建材,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586405084
建材行业2022年年报&2023年一季报综述：消费建材一季度修复较强，周期建材复苏有时,中银证券,2023-05-09 00:00:00.000,水泥建材,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586393446
建筑材料行业周观点：水泥价格持续回落，玻璃盈利持续修复,万联证券,2023-05-09 00:00:00.000,水泥建材,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586388346
建筑材料行业深度报告：短期受供给扰动，关注竣工修复的高度,万联证券,2023-05-09 00:00:00.000,水泥建材,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586388345
建材行业行业周报：假期需求略有下降,中国银河,2023-05-08 00:00:00.000,水泥建材,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586355789
建材行业策略周报：需求短期受限，关注竣工链持续回暖,财通证券,2023-05-08 00:00:00.000,水泥建材,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586352480
建筑材料行业周报：保交楼有望加速落地，看好后周期建材配置价值,开源证券,2023-05-08 00:00:00.000,水泥建材,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586352461
建筑材料周观点：一季报压力期已过，Q2板块有望进一步复苏,德邦证券,2023-05-05 00:00:00.000,水泥建材,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586268099
建筑材料行业周观点：年报业绩利空落地，关注需求边际修复,万联证券,2023-05-04 00:00:00.000,水泥建材,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586264633
建材行业周报：浮法玻璃价格仍存提升空间,东方证券,2023-04-25 00:00:00.000,水泥建材,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304251585795716
建筑材料行业周观点：地产竣工端延续高增，浮法玻璃有望持续修复,万联证券,2023-04-24 00:00:00.000,水泥建材,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585748213
水泥行业研究周报：市场持续疲弱，水泥价格继续小幅回落,天风证券,2023-04-24 00:00:00.000,水泥建材,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585731120
建筑建材行业周报：开工疲弱导致水泥价格回落，玻璃持续去库下继续涨价,信达证券,2023-04-24 00:00:00.000,水泥建材,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585730509
建筑材料行业周报：竣工超预期回暖，关注玻璃和消费建材投资机会,开源证券,2023-04-24 00:00:00.000,水泥建材,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585730494
建筑建材行业周报：关注“一带一路”持续推进，基建投资增速有望维持,东莞证券,2023-04-24 00:00:00.000,水泥建材,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585729569
建材行业策略周报：关注竣工链需求释放，支撑基本面改善,财通证券,2023-04-24 00:00:00.000,水泥建材,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585729516
建筑材料行业跟踪周报：地产销售和政策继续回暖,东吴证券,2023-04-24 00:00:00.000,水泥建材,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585729305
建材建筑周观点：“带路”订单大幅增长，玻璃库存7连降,民生证券,2023-04-23 00:00:00.000,水泥建材,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585719412
建筑材料：1-3月国家统计局建材行业数据点评-地产竣工修复明显加速，基建投资维持高增,中泰证券,2023-04-21 00:00:00.000,水泥建材,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304211585672799
2023年1-3月建材行业数据点评：玻璃供需继续优化，水泥库存压力渐显,中邮证券,2023-04-20 00:00:00.000,水泥建材,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304201585621347
建材行业周报：玻璃与竣工持续改善，后周期需求改善持续兑现,东方证券,2023-04-19 00:00:00.000,水泥建材,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304191585568639
建筑材料3月行业数据点评：竣工面积增速重回双位数，地产链复苏关注销售持续表现,德邦证券,2023-04-19 00:00:00.000,水泥建材,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304191585563326
