研报名称,机构名称,发布时间,行业,研报地址
商贸零售行业跟踪周报：出行消费持续恢复，关注暑期出行旺季带动预期修复机会,东吴证券,2023-05-14 00:00:00.000,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305131586610566
HTI消费品成本指数：铝材现货底部回升，白糖价格再创新高,海通国际,2023-05-11 00:00:00.000,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586484872
商贸零售行业点评报告：科大讯飞星火大模型发布，重视AI+教育场景落地中的投资机会,东吴证券,2023-05-10 00:00:00.000,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586450124
2022医美年报综述：复苏时代，大有可为,德邦证券,2023-05-10 00:00:00.000,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586444560
商贸零售5月投资策略暨年报&一季报总结：行业稳步复苏，个股分化持续,国信证券,2023-05-09 00:00:00.000,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586393610
消费品零售&化妆品行业周报：22年零售行业整体表现承压，23Q1部分行业已有弱复苏态势,中国银河,2023-05-09 00:00:00.000,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586392461
商贸零售行业2023年中期投资策略：复苏正当时，顺应消费趋势、把握优质品牌,开源证券,2023-05-08 00:00:00.000,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586362540
零售行业周报：5月加息符合预期，关注跨境电商β修复逻辑,财通证券,2023-05-08 00:00:00.000,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586358208
商贸零售行业周报：十一部门联合印发《关于进一步加强医疗美容行业监管工作的指导意见》，关注合规医美龙头企业,开源证券,2023-05-08 00:00:00.000,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586352470
商贸零售行业周报：“五一”线下零售加速回暖，关注黄金珠宝头部品牌,上海证券,2023-05-08 00:00:00.000,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586348623
商贸零售行业跟踪周报：关注“一带一路”背景下出口服务商城三杰：小商品城，轻纺城，海宁皮城,东吴证券,2023-05-08 00:00:00.000,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305071586347495
零售行业4月行业动态报告：“五一”消费热情高涨，消费品零售行业一季度稳健复苏，维持推荐优质标的,中国银河,2023-05-07 00:00:00.000,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305061586342881
商贸零售行业2022年年报&2023年一季报综述：黄金珠宝&医美&跨境电商龙头表现亮眼，美妆板块业绩仍具韧性,民生证券,2023-05-06 00:00:00.000,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305061586331344
商贸零售行业深度报告：零售行业2022年报&2023年一季报综述：复苏之花徐徐盛开，关注黄金珠宝、医美化妆品龙头,开源证券,2023-05-05 00:00:00.000,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305051586297599
