研报名称,机构名称,发布时间,行业,研报地址
国内新能源车销量点评：6月产销持续增长，看好需求修复,德邦证券,2023-07-13,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307131592228907
电力设备行业点评报告：电改加速进行时，用电侧有望迎来重大发展机遇,东吴证券,2023-07-13,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307131592224523
虚拟电厂 头豹词条报告系列,头豹研究院,2023-07-12,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307121592218531
电力设备与新能源行业研究：中央深改委通过《关于深化电力体制改革加快构建新型电力系统的指导意见》、国网董事长辛保安发布《新型电力系统构建方法论研究》,国金证券,2023-07-12,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307121592206162
电力设备及新能源行业深度研究报告：景气度全面向好，政策发力开启新一轮增长周期,中国银河,2023-07-11,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307111592187395
2023年储能中期策略报告：中美高增，欧洲去库，新兴市场成亮点,东吴证券,2023-07-11,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307111592170129
电力设备与新能源行业周报：欧洲电动车6月销量高增，组件尺寸标准化推进,上海证券,2023-07-11,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307111592148845
电力设备与新能源行业周报：本周储能板块轮动，行业向上拭目以待,华安证券,2023-07-10,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307101592134570
储能与电力设备周报（第5期）：重视储能数据向好催化,太平洋,2023-07-10,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307101592133206
电力设备及新能源行业周报：迎峰度夏刺激需求侧响应需求，看好工商储和虚拟电厂,华福证券,2023-07-10,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307101592129804
电力设备新能源行业周报（第27周）：陆风有望迎来招标放量，储能投资收益率逐步提升,浙商证券,2023-07-10,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307101592127928
电力设备行业研究周报：新技术加速落地 把握新技术投资机会,申港证券,2023-07-10,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307101592127899
电力设备行业新能源周报（第46期）： 硅料企稳回升，继续重视创新,太平洋,2023-07-10,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307101592126324
电力设备及新能源行业周报：矩形硅片标准尺寸达共识，河北绿氢无需危化品生产许可,平安证券,2023-07-10,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307101592124033
储能产业链周评（7月第1周）：储能公司陆续启动上市，氢能企业斩获海外订单,国信证券,2023-07-10,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307101592123108
电力设备与新能源行业周观察：特斯拉23Q2交付量同比高增，西班牙上调光伏装机目标,华西证券,2023-07-10,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307091592122533
电力设备与新能源行业7月周报：碳酸锂期货获批降低价格风险，海风招标重启促景气转暖,国联证券,2023-07-09,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307091592121717
电力设备与新能源：9家光伏企业统一对外发布关于矩形硅片组件尺寸标准化的倡议,信达证券,2023-07-09,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307091592121409
新能源行业周报：CCER管理办法发布，“双积分”政策修订设立积分池制度,中邮证券,2023-07-09,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307091592121360
电力设备行业简评报告：多重因素共同刺激，储能行业需求旺盛,首创证券,2023-07-07,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307071592090440
欧洲新能源车销量点评：6月销量同环比双升,德邦证券,2023-07-07,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307071592079590
电力设备与新能源：储能行业跟踪：行业量增价稳，业内企业订单活跃,华西证券,2023-07-07,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307071592079566
电力设备新能源2023年中期投资策略：国内储能招标高景气持续，下半年风电光伏迎接放量,国信证券,2023-07-06,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307061592062129
工商业储能行业深度报告：配储经济性提升，工商储需求亟待爆发,中泰证券,2023-07-05,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307051592037637
电力设备行业研究周报：充电桩政策从顶层到地方逐步明晰,申港证券,2023-07-03,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307031591998233
电力设备及新能源行业周报：重视新技术，光储仍看涨,华福证券,2023-07-03,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307031591996078
锂电行业周报：政策促消费，行业稳增长,川财证券,2023-07-03,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307031591996012
电力设备行业周报：6月电车销量向好，赛道回暖建议关注行业新技术,华安证券,2023-07-03,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307031591995178
电力设备及新能源行业周报：HJT电镀铜技术产业化提速，国内两大万吨级绿氢项目投产,平安证券,2023-07-03,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307031591995031
电力设备及新能源行业周报：硅片库存开始下降，电池片需求旺盛,东莞证券,2023-07-03,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307031591989248
电力设备与新能源行业研究：硅料库存快速下降，重视电镀铜驱动的下一轮提效降本,国金证券,2023-07-03,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307031591988367
电力设备行业跟踪周报：锂电&光伏新技术活跃、机器人产业潜力巨大,东吴证券,2023-07-03,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307031591988152
储能产业链周评（6月第5周）：上半年储能中标量已超去年，年产万吨制氢项目陆续投产,国信证券,2023-07-03,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307031591988131
储能与电力设备周报（第4期）：重视江苏等地储能政策优化,太平洋,2023-07-03,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307031591987300
电气设备行业周报：上游价格降幅减小，产业链价格调整,德邦证券,2023-07-03,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307031591987145
电力设备与新能源行业6月第4周周报：中石化库车项目投产，7月峰谷电价差拉大,中银证券,2023-07-03,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307021591986443
电力设备与新能源行业周观察：国内多家车企公布6月电动车销量，储能上半年招标量持续景气,华西证券,2023-07-03,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307021591986394
电力设备与新能源行业周报：特斯拉或将使用磷酸锰铁锂电池，小鹏最新纯电SUV上市,信达证券,2023-07-02,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307021591985634
电力设备及新能源行业周报：特斯拉国产Model3改款车型将采用宁德时代M3P电池，光伏终端需求开始逐渐回暖,华金证券,2023-07-02,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307021591985225
电力设备与新能源行业6月周报：硅料价格接近历史底部，CCER重启助力碳市场扩容,国联证券,2023-07-02,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307011591984295
电力设备与新能源/2023年中期策略：新引擎驱动新成长,国联证券,2023-07-02,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307011591984191
电力设备行业投资策略报告：利空出尽，否极泰来,万联证券,2023-06-30,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306301591954122
电力设备与新能源行业研究：虚拟电厂系列专题（一）：迎峰度夏！开启千亿蓝海市场,国金证券,2023-06-30,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306301591917219
电力设备：上游价格接近触底，关注TOPCon、辅材和分布式,上海证券,2023-06-27,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306271591732815
电力设备行业深度报告：新型储能方兴未艾，工商+大储如日方升,东海证券,2023-06-27,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306271591720628
电力设备与新能源行业周报：5月光伏装机高增，N型趋势进一步确认,上海证券,2023-06-27,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306271591706581
电力设备行业周报：海博思创冲关科创板，光伏上游价格接近触底,华鑫证券,2023-06-26,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306261591295195
电力设备及新能源行业周报：异质结组件订单频签订，海外风机巨头产品质量隐患显现,平安证券,2023-06-26,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306261591291780
电力设备新能源周报（第44期）：政策助推行业边际向好，重视新技术,太平洋,2023-06-26,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306261591287520
电力设备行业研究周报：构建高质量充电基础设施体系 利好大功率快充,申港证券,2023-06-26,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306261591286242
电力设备新能源行业周报（第25周）：新能车购置税减免细则出台，光伏上游价格底部区间已现,浙商证券,2023-06-26,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306261591286239
电气设备行业周报：机器人“政策利好+龙头催化”，国内核心零部件环节机遇频频,德邦证券,2023-06-26,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306261591286194
电力设备及新能源行业周报：新能源购置税延期超预期，持续看好人形机器人对工控催化,华福证券,2023-06-26,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306261591286174
电力设备与新能源行业研究：光伏Q3淡季不淡，氢能开启预期兑现，海风招标全面重启,国金证券,2023-06-26,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306261591286072
电力设备及新能源行业：新能源车购置税补贴延期力度超预期，结构优化下利好行业,华福证券,2023-06-26,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306261591285549
电力设备及新能源行业周报：光伏产业链价格逐步探底，1-5月风电装机量同增51.2%,东莞证券,2023-06-26,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306261591285449
电气设备：人形机器人：AI赋能下空间可期，看好特斯拉供应链,天风证券,2023-06-26,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306261591285115
电力设备与新能源：风光装机跟踪：5月装机继续高增，下半年潜力空间可期,国联证券,2023-06-26,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306251591284663
电力设备行业跟踪周报：新能源汽车购置税超预期、机器人产业潜力巨大,东吴证券,2023-06-26,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306251591284330
电力设备与新能源行业6月第4周周报：新能源车购置税减免延续至2027年,中银证券,2023-06-26,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306251591281872
"电力设备行业周报：购置税政策利好产业链修复，迎峰度夏看好虚拟电厂_陈晓,牛义杰",华安证券,2023-06-25,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306251591284412
电力设备行业专题研究：特斯拉·前瞻：为何入局Robotaxi？盈利模式如何？,天风证券,2023-06-24,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306241591274958
氢能系列报告（三）液氢篇：氢能市场放量增长，液氢有望率先受益,华安证券,2023-06-21,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306211591205238
电力设备及新能源：充电桩政策再加码，板块景气度有望持续,华金证券,2023-06-20,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306201591099059
新能源周报（第43期）：重视终端创新，降价带来需求正反馈,太平洋,2023-06-20,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306201591089196
电力设备与新能源行业周报：硅料价格跌幅扩大，看好光伏需求反弹,上海证券,2023-06-20,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306201591082213
加氢站 头豹词条报告系列,头豹研究院,2023-06-19,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306191591075478
电力设备行业周报：硅料价格持续下探，充电桩政策有望进一步加码,华鑫证券,2023-06-19,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306191591073715
电力设备与新能源行业周报：硅料价格触底实质性驱动板块预期及情绪全面修复,国金证券,2023-06-19,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306191591062090
电力设备及新能源周报：汽车下乡促消费，海风发展加速度,民生证券,2023-06-19,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306191591062031
电力设备及新能源行业周报：光伏博弈趋弱，海风利好不断,华福证券,2023-06-19,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306191591058632
电力设备新能源行业新老交替迭代成长：百炼成钢，去伪存真,浙商证券,2023-06-19,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306191591056976
储能产业链周评（6月第3周）：海外储能补贴方案频出，国内开启储能试点示范项目申报,国信证券,2023-06-19,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306191591056888
电力设备及新能源行业周报：江苏大丰800MW海风项目招标启动，广东多地开启海风项目竞配,东莞证券,2023-06-19,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306191591056844
电力设备行业跟踪周报：内外部环境改善，锂电、光伏、工控机器人均受益,东吴证券,2023-06-19,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306191591056605
电力设备与新能源行业6月第3周周报：光伏产业链持续降价，欧洲天然气期货价格大涨,中银证券,2023-06-19,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306181591056416
电力设备与新能源行业：TOPCon专题报告：渗透率加速提升，全产业N型共振,东吴证券,2023-06-18,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306181591055293
电力设备与新能源：储能招标1-5月同比增长146%，硅料价格延续跌势,信达证券,2023-06-18,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306181591055195
电力设备与新能源行业6月周报：光伏产业链价格触底，风电招标重启景气上行,国联证券,2023-06-18,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306171591054649
电力设备及新能源：分布式光伏接网获政策力推，关注储能及配网升级改造,华金证券,2023-06-18,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306171591048082
欧洲新能源车销量点评：5月总量环比提升，销势向好,德邦证券,2023-06-16,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306161591023447
储能与电力设备周报（第2期）：广东市场加速，装机旺季将至,太平洋,2023-06-16,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306161591023444
电力设备及新能源行业2023年中期策略报告：重供给格局，掘金海风、N型电池及绿氢,平安证券,2023-06-15,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306151590958868
电新行业双周报2023年第9期总第9期：世界动力电池大会召开 动力电池行业迈入从有到好新阶段,长城国瑞证券,2023-06-14,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306141590928619
电力设备与新能源行业动态报告：政策与需求双轮驱动，充电桩建设加速,华西证券,2023-06-13,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306131590906338
储能与电力设备周报（第1期）：政策加码，重视新市场弹性,太平洋,2023-06-13,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306131590900842
电力设备与新能源行业周报：5月电动车销量同比高增，商务部组织新能源汽车促消费活动,中泰证券,2023-06-13,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306131590891349
电力设备及新能源行业周报：新型电力系统蓝皮书发布；光伏产量同比激增,华金证券,2023-06-13,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306131590885745
电力设备及新能源周报：松下全力扩大电池产能，美国组件需求旺盛,民生证券,2023-06-12,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306121590867690
电新行业周报（2023年第22期）：广东发布《促进新型储能电站发展若干措施》，工商业储能盈利能力再获增强,安信证券,2023-06-12,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306121590854125
电力设备与新能源行业周报：光伏价格加速赶底，板块底部提前确认,国金证券,2023-06-12,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306121590852652
低碳研究行业周报：迎峰度夏电力大考在即，水电如何备考,华福证券,2023-06-12,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306121590852379
电力设备及新能源行业周报：光伏产业链博弈近尾声，5月动力锂电库销比持续回落,华福证券,2023-06-12,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306121590852378
电力设备及新能源行业周报：硅料价格持续快速下行，美国发布清洁氢战略路线图,平安证券,2023-06-12,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306121590851805
光储行业2023年中期投资策略：经济性带来成长力量，光储需求锋芒显现,中银证券,2023-06-12,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306121590851789
新能源车销量和电池装机量点评：长风破浪会有时，直挂云帆济沧海,德邦证券,2023-06-12,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306121590851257
电力设备及新能源行业周报：2022年中国海上风电度电成本降至约0.33元,东莞证券,2023-06-12,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306121590851255
电力设备行业研究周报：5月动力电池装机量稳步增长,申港证券,2023-06-12,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306121590851202
电力设备新能源行业周报（第23周）：硅料价格加速见底，全面看多光伏赛道,浙商证券,2023-06-12,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306121590851179
全球能源：美国氢能路线图；2024年或成拐点年；购买美国氢气公司,海通国际,2023-06-12,电源设备,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306121590850741
