研报名称,机构名称,发布时间,行业,研报地址
国内晶圆厂扩产带动设备需求，PaLM2助力边缘AI应用提速,安信证券,2023-05-14 00:00:00.000,半导体,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305141586623955
电子行业点评：华虹一季度业绩符合预期，整体产能利用率维持满产,平安证券,2023-05-12 00:00:00.000,半导体,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305121586524693
半导体行业一季度业绩整体下滑 设备逆势上涨,国开证券,2023-05-12 00:00:00.000,半导体,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305121586521887
产业经济专题：全球晶圆代工资本开支占比上行，关注国产半导体设备板块成长性,德邦证券,2023-05-12 00:00:00.000,半导体,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305121586520323
半导体行业动态分析：弱复苏预期强化，高技术产品壁垒铸成长护城河,华金证券,2023-05-11 00:00:00.000,半导体,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586475708
半导体行业双周报：产业链供给端调整快速推进，静待需求复苏,湘财证券,2023-05-10 00:00:00.000,半导体,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586441961
2023Q1模拟芯片行业跟踪：头部公司被动补库存，部分国内公司进入主动去库存阶段,中航证券,2023-05-10 00:00:00.000,半导体,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586420432
半导体设备零部件|2022年报&2023年一季报总结：设备及零部件国产化加速，在手订单饱满,东吴证券,2023-05-09 00:00:00.000,半导体,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586412694
半导体行业2023年度中期投资策略：下半年有望景气复苏，AI带来新增量，自主可控逻辑强化,开源证券,2023-05-09 00:00:00.000,半导体,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586392486
半导体行业一季报业绩综述：基金重仓股变化显著，半导体周期已触底,国信证券,2023-05-08 00:00:00.000,半导体,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586354964
电子周观点：关注半导体复苏+汽车电子修复行情,德邦证券,2023-05-08 00:00:00.000,半导体,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586348496
半导体行业动态分析：制程设备一枝独秀，弱复苏基调CIS/功率/存储盈利改善,华金证券,2023-05-08 00:00:00.000,半导体,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305071586347480
半导体行业22年报和23一季报综述：国产替代驱动设备业绩高增，景气最差阶段有望过去,中邮证券,2023-05-08 00:00:00.000,半导体,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305071586347475
电子行业周报：半导体自主可控势在必行，LED行业复苏信号明确,安信证券,2023-05-08 00:00:00.000,半导体,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305071586347433
