研报名称,机构名称,发布时间,行业,研报地址
商贸零售行业点评报告：海关总署公布2023H1出口数据，一带一路国家进出口高景气，推荐小商品城等,东吴证券,2023-07-14,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307141592268200
商业贸易行业周报：暑期旺季开启，旅游酒店有望超预期恢复,华福证券,2023-07-11,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307111592150782
零售行业周报：关注美国消费驱动下跨境出口链机会,财通证券,2023-07-11,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307111592150776
商社行业2023年中期策略：关注确定性与复苏的弹性,东兴证券,2023-07-10,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307101592135060
消费品零售&化妆品行业周报：关注近期业绩预告与月底开始的半年报披露情况，维持推荐优质零售标的,中国银河,2023-07-10,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307101592128427
商贸零售行业周报：关注华东医药利拉鲁肽获批减重适应症，本周新增重点推荐水羊股份,开源证券,2023-07-10,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307101592124417
商贸零售行业研究：锦波生物：重组胶原蛋白领军者、医美发力，北交所7.10申购,国金证券,2023-07-10,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307101592124006
社服零售行业周报：中免Q2毛利率回升，暑期来临关注出行链超预期行情,华西证券,2023-07-10,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307101592123659
商贸零售行业双周报：赛维时代招股书梳理，板块多重催化跨境电商龙头加速发展,国信证券,2023-07-10,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307101592123656
商贸零售行业跟踪周报：重庆百货2023中报业绩预告高增，关注国企改革下出口、百货、黄金珠宝等板块投资机会,东吴证券,2023-07-10,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307091592122248
零售周观点：锦波生物即将登陆北交所，曼卡龙顺利完成定增募资,民生证券,2023-07-10,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307091592122052
新消费周观点：中美关系有望改善，政策预期变化或带来反弹机会,信达证券,2023-07-09,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307091592122210
商贸零售行业周报：关注近期披露中报业绩预增公告的超预期标的,上海证券,2023-07-09,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307091592121664
零售行业6月行业动态报告：2023年上半年收官，“618”大促和端午假期消费表现稳健，维持推荐优质标的,中国银河,2023-07-07,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307071592093899
海外行业动态研究：618电商复盘：低价与中小企业成争夺重点,国海证券,2023-07-07,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307071592090024
零售行业周报：美国一季度GDP超预期，持续关注跨境板块投资机会,财通证券,2023-07-05,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307051592046769
美容护理双周刊：从锦波生物IPO获批看重组胶原蛋白行业发展趋势,信达证券,2023-07-05,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307051592040766
商贸零售23Q2业绩前瞻：医美及黄金珠宝龙头加速增长，美妆龙头稳健成长,民生证券,2023-07-04,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307041592032483
商贸零售“618”专题报告：消费边际回暖，美妆展现较大弹性，国货龙头快速崛起,民生证券,2023-07-04,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307041592023503
大制造行业周报：国产Wi-Fi6芯片通过赛宝实验室认证，未来市场份额或将逐渐增加,川财证券,2023-07-03,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307031592000586
商业贸易行业周报：暑期旅游旺季将至，重点推荐酒店旅游,华福证券,2023-07-03,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307031591999419
零售周观点：湃肽生物递交招股书，亚马逊FBA调整物流价格等级,民生证券,2023-07-03,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307031591996083
商贸零售行业周报：亚马逊更新FBA仓政策，新增重点推荐华凯易佰,开源证券,2023-07-03,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307031591996082
消费品零售&化妆品行业周报：关注近期行业内公司经营变动及补助情况，维持推荐高稳定性的优质零售标的,中国银河,2023-07-03,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307031591995454
商贸零售行业研究：Q2业绩前瞻，关注前期估值调整较多、二季度业绩靓丽标的,国金证券,2023-07-03,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307031591988382
商贸零售行业周报：关注业绩稳健增长的低估值标的,上海证券,2023-07-03,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307031591987283
商贸零售行业跟踪周报：1~5月我国彩票零售额高增，彩民购彩意愿高，关注亚运会等催化,东吴证券,2023-07-03,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307031591987049
社服零售行业周报：景气延续+集中度提升，继续看好黄金珠宝,华西证券,2023-07-03,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307021591986617
大众品成本跟踪专题：社零稳步修复，23H1成本压力边际下降,民生证券,2023-07-02,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202307021591985219
美妆&零售行业2023年中期投资策略：零售关注新业务+新业态，美妆关注产品+营销-零售布局节奏加快，国货美妆进入新纪元,西南证券,2023-06-29,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306291591848976
商贸零售618专题报告：大促落下帷幕，消费温和复苏,财通证券,2023-06-28,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306281591762366
商贸零售行业2023年中期投资策略：把握消费新浪潮，变革拥抱新成长,民生证券,2023-06-27,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306271591730959
零售及美护行业618大促点评：抖音平台高增长，美护品牌表现分化,国元证券,2023-06-27,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306271591720911
零售行业周报：美国5月零售额超预期，跨境电商修复逻辑持续,财通证券,2023-06-27,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306271591718558
消费品零售行业2023年中期策略报告：聚焦消费复苏过程中的稳定选手，维持推荐优质国潮品牌商,中国银河,2023-06-27,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306271591714753
2023年“618”电商大促点评：线上大盘持续复苏好转，美妆国货龙头表现优异,国信证券,2023-06-27,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306271591714023
商业贸易行业周报：量起彰显消费信心，孕育价增指日可待,华福证券,2023-06-27,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306271591706574
商贸零售行业点评报告：端午出行持续修复，暑期旺季有望兑现业绩弹性,东吴证券,2023-06-27,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306271591650677
消费品零售&化妆品行业周报：“618”交易规模稳健但增速持续回落，端午假期促进消费潜力进一步释放,中国银河,2023-06-26,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306261591287815
商贸零售行业周报：润本股份过会，国货婴童护理品牌前景可期,开源证券,2023-06-26,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306261591286063
端午节消费数据简评报告：端午出行热情不减，客均消费恢复有限,东海证券,2023-06-26,商业百货,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306251591284469
