研报名称,机构名称,发布时间,行业,研报地址
化工&新材料行业周报：六氟磷酸锂价格上涨，光刻胶板块涨幅居前,太平洋,2023-05-30,非金属材料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305301587345781
日本光刻胶年报/一季报综述：业绩短期承压，各企业正积极布局相关业务,海通国际,2023-05-29,非金属材料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305291587329274
新材料行业周报：关注纳米二氧化硅行业结构性机会,开源证券,2023-05-29,非金属材料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305291587325286
新材料行业周报：TCO玻璃龙头加速投产；石英砂保持上涨趋势,中泰证券,2023-05-23,非金属材料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305231587067533
新材料专题：超硬材料行业深度分析-河南省超硬材料产业发展分析,中原证券,2023-05-16,非金属材料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305161586686746
化工&新材料行业周报：电化学储能电站新增装机有望快速增长，萤石价格逆流而上,太平洋,2023-05-15,非金属材料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586638070
新材料行业2022年报及2023Q1业绩综述：长坡厚雪、灼灼其华,东亚前海证券,2023-05-10,非金属材料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586439997
新能源材料：范式进阶！,浙商证券,2023-05-09,非金属材料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586392539
2022年中国碳纤维行业短报告：新兴领域需求爆发，产业扶摇直上（摘要版）,头豹研究院,2023-05-07,非金属材料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305071586343836
化工新材料行业周报：德国可能会限制向中国出口用于制造半导体的化学品，陶氏支持胶膜龙头进行POE树脂开发,德邦证券,2023-05-05,非金属材料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305051586290020
化工可转债、定增双周报：可转债市场回调，蓝晓科技和科思股份可转债发行,太平洋,2023-04-27,非金属材料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304271585930879
化工新材料周报：1-3月光伏发电量同比增长11.8%，万润股份一季度实现归母净利润1.77亿元,国海证券,2023-04-23,非金属材料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304231585728751
电子化学品系列报告之一：光刻胶国产替代迎来良机,太平洋,2023-04-18,非金属材料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304181585539885
化工&新材料行业周报：OPEC+自愿减产支撑油价，萤石价格持续探涨,太平洋,2023-04-10,非金属材料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304101585254850
化工新材料行业周报：DSCC预测2023年京东方在全球OLED面板市场市占率提升至13%，SEMI预测2026年中国大陆12吋晶圆全球占比25%,德邦证券,2023-04-03,非金属材料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304031585029643
